theta,tx,ty
-0.000163997,2.55504,-0.756927
-0.000102491,2.54881,-0.756251
-6.69349e-05,2.50911,-0.770872
-0.000176833,2.48785,-0.65285
-9.29495e-05,2.50473,-0.607645
-0.000122765,2.52133,-0.535759
-0.000141492,2.49007,-0.539594
-0.000122816,2.4974,-0.54882
-9.87678e-05,2.38333,-0.473458
-0.000185371,2.58831,-0.407862
-0.000127334,2.42673,-0.429388
-0.000164267,2.45587,-0.337363
-0.000151393,2.4931,-0.394017
-4.50556e-05,2.45175,-0.246015
-0.000204453,2.53027,-0.251731
-8.43419e-05,2.38959,-0.262801
-4.74349e-05,2.44993,-0.196362
-0.000153826,2.4181,-0.123667
-0.000122054,2.42794,-0.126671
-3.86539e-05,2.41343,-0.122757
-9.44972e-05,2.35611,-0.0517679
-0.000108852,2.37681,-0.0512644
-0.000117892,2.46066,-0.0393867
-6.52558e-05,2.43505,0.00214909
-5.79074e-05,2.42288,0.0216438
-9.05433e-05,2.45445,0.0182549
-9.04343e-05,2.48553,0.0238539
-8.92492e-05,2.38875,0.0624129
-7.45515e-05,2.36716,0.0966107
-7.05507e-05,2.42744,0.0707354
-6.30977e-05,2.38724,0.140515
-9.56252e-05,2.38334,0.0995426
-8.57436e-05,2.34436,0.217201
-9.59615e-05,2.47532,0.147095
-9.60356e-05,2.37999,0.21373
-7.16841e-05,2.38293,0.299453
-0.000119331,2.41357,0.288318
-9.90939e-05,2.37595,0.309565
-5.48002e-05,2.34623,0.321943
-8.87678e-05,2.30748,0.431912
-8.02685e-05,2.42968,0.364739
-8.50026e-05,2.35682,0.455693
-8.9895e-05,2.35293,0.455737
-0.000135772,2.36802,0.463353
-6.41389e-05,2.41987,0.522867
-0.000115943,2.33509,0.595221
-7.75178e-05,2.30256,0.525505
-4.01058e-05,2.27227,0.543228
-0.000107506,2.30712,0.638308
-7.05679e-05,2.31004,0.635364
-0.000116278,2.41439,0.668543
-3.97945e-05,2.24306,0.725179
-8.17473e-05,2.34653,0.722847
-2.5528e-05,2.38197,0.744551
-3.5021e-05,2.26448,0.714095
-5.07779e-05,2.3526,0.763914
-5.49654e-05,2.21219,0.77297
-4.71304e-05,2.33447,0.793238
-6.04188e-05,2.16261,0.768959
-5.01222e-05,2.31625,0.877508
-6.67313e-05,2.26512,0.865438
-1.41313e-05,2.34994,0.83189
-4.29084e-05,2.26182,0.828567
-6.64111e-05,2.25228,0.886024
-4.15868e-05,2.19424,0.849955
-8.90836e-05,2.36306,0.921344
9.2225e-06,2.23359,0.887713
-4.09145e-05,2.30861,0.950054
-6.83942e-05,2.30991,0.942313
-3.69078e-05,2.25447,1.00221
-3.00255e-05,2.25656,0.982273
-3.09351e-05,2.30887,0.98001
2.4883e-06,2.22792,0.996164
-6.30072e-05,2.26842,1.03344
-2.13579e-05,2.27318,1.04244
-2.12334e-05,2.18796,1.01956
-4.7484e-05,2.28582,1.01915
-1.68894e-05,2.26307,1.06225
-9.71649e-06,2.25491,1.0674
-2.55154e-05,2.24203,1.06611
-1.8135e-05,2.18408,1.00707
-1.65637e-05,2.31428,1.03721
4.9499e-05,2.21172,1.07727
-3.02633e-05,2.20844,1.04628
-1.52478e-05,2.19295,1.0666
-6.61867e-06,2.22926,1.07388
-2.99958e-05,2.16265,1.12706
-5.06967e-05,2.2155,1.06505
-2.81537e-05,2.23791,1.15719
-7.28485e-05,2.28035,1.21051
-2.19897e-05,2.33035,1.12264
8.94679e-06,2.39115,1.36723
4.10189e-05,2.78164,1.35675
-1.31459e-05,2.96667,1.30092
5.73481e-05,2.79031,1.30212
7.28593e-05,2.77951,1.23294
5.57461e-05,2.4701,1.22003
4.25425e-05,2.63128,1.16338
5.42265e-05,2.51136,1.18636
9.39823e-05,2.38826,1.1271
5.80757e-05,2.28279,1.12365
0.000112781,1.95041,1.11518
-1.20734e-05,1.77717,1.06769
0.000104959,1.69078,1.11264
4.41933e-05,1.61091,1.04327
1.23041e-05,1.5269,1.01806
-8.04191e-06,1.64978,1.02744
9.15897e-06,1.64017,1.00577
9.69671e-05,1.60757,0.971742
2.29462e-05,1.6571,1.01428
2.89222e-05,1.63356,0.982789
4.27341e-05,1.73675,0.928147
-5.01975e-05,1.56053,0.947939
8.17837e-06,1.59675,0.89243
-3.86212e-05,1.71474,0.919807
-6.85994e-05,1.60477,0.933724
5.22329e-06,1.54913,0.90012
-2.74418e-05,1.62365,0.929266
-4.18282e-06,1.51564,0.887154
-6.03548e-05,1.61222,0.904097
-1.44965e-06,1.57169,0.864508
6.10848e-06,1.56901,0.846949
-3.76651e-05,1.53718,0.826145
-1.86658e-05,1.50121,0.789877
1.70499e-05,1.53875,0.77518
-2.01905e-06,1.65385,0.788133
1.27619e-05,1.52131,0.758315
1.09459e-05,1.56571,0.763222
8.48616e-06,1.61645,0.729638
6.59682e-05,1.43656,0.692356
-2.52004e-05,1.56543,0.591616
3.82536e-05,1.56985,0.57386
-3.54795e-05,1.53151,0.55412
-1.38175e-05,1.57008,0.526124
8.37493e-06,1.62621,0.510237
2.03789e-05,1.57104,0.488685
4.61036e-05,1.67383,0.48583
5.49934e-05,1.69106,0.47345
-9.31542e-06,1.70433,0.481429
9.92112e-05,1.73136,0.34864
3.15058e-05,1.71041,0.422924
3.24532e-05,1.70279,0.429623
-1.47299e-05,1.76384,0.406681
5.35358e-06,1.79454,0.326326
8.13764e-06,1.79678,0.341333
3.23802e-05,1.77601,0.321545
7.74852e-06,1.7843,0.318787
4.73038e-05,1.87737,0.377821
4.25371e-05,1.83982,0.29826
3.24857e-05,1.90434,0.294846
5.20275e-05,1.85655,0.228112
8.34348e-05,1.84195,0.192236
1.42034e-05,1.8869,0.189072
5.38886e-05,1.90065,0.198796
2.4189e-05,1.88427,0.166917
3.70954e-06,1.95069,0.188112
4.4637e-05,1.95376,0.156565
4.56743e-05,1.95849,0.118261
2.83764e-05,1.9693,0.0799449
1.01247e-05,1.96558,0.0674011
4.1681e-05,1.96034,0.0795509
5.15575e-05,1.98086,0.068327
4.5138e-05,2.04748,0.0564454
6.02451e-05,1.94797,0.0297271
6.82009e-05,2.0866,0.0282315
-1.59958e-05,1.90817,0.0243104
2.37117e-06,2.02947,0.00371791
4.37018e-05,2.02199,0.0070172
3.07248e-05,2.02531,0.0122473
3.31214e-05,2.05042,0.0173047
3.28262e-05,2.00802,0.0127431
3.52445e-05,2.15921,-0.0203808
2.81931e-05,2.0235,-0.00819729
2.75901e-05,2.04332,-0.0384424
2.82978e-05,2.07874,-0.0251492
2.51095e-07,2.1259,-0.0680874
3.111e-05,2.13053,-0.0853417
1.66892e-05,2.15271,-0.0653397
6.40831e-05,2.08663,-0.125678
-3.57172e-06,2.15105,-0.177699
7.95605e-05,2.15649,-0.09769
3.21431e-06,2.17699,-0.180378
1.50806e-05,2.11527,-0.130147
1.05581e-06,2.17294,-0.182942
7.01506e-06,2.22949,-0.143849
-4.37089e-06,2.18965,-0.19034
9.91221e-05,2.19779,-0.11832
-8.23315e-06,2.25754,-0.172068
