x,y,z
1.6797242,0.04023265,-1.0581608
1.6780884,0.04063435,-1.0579805
1.6765766,0.04099208,-1.0578151
1.6749556,0.041399077,-1.0576358
1.6730132,0.04351145,-1.0572855
1.6697116,0.04362548,-1.0569799
1.668226,0.043912478,-1.0568227
1.6665256,0.044320658,-1.0566361
1.6651106,0.04463472,-1.056483
1.6635947,0.045010954,-1.0563157
1.6620603,0.045409083,-1.0561447
1.6604242,0.0457569,-1.055969
1.6588796,0.04615225,-1.0557976
1.6573333,0.046520174,-1.0556281
1.6559678,0.046909653,-1.0554732
1.6547272,0.047246303,-1.0553339
1.6534295,0.047638908,-1.0551847
1.6520362,0.048031703,-1.055027
1.6490538,0.04806137,-1.0547569
1.6476791,0.04847845,-1.0545988
1.6463535,0.048822332,-1.0544512
1.6449108,0.049186736,-1.0542915
1.6435702,0.049585298,-1.054138
1.6420617,0.049948096,-1.0539725
1.6407185,0.050271735,-1.0538249
1.637586,0.050250106,-1.0535457
1.6360968,0.050612323,-1.0533819
1.6346889,0.050962143,-1.0532265
1.6314943,0.050958738,-1.0529401
1.6300185,0.051345937,-1.0527754
1.6285566,0.051697664,-1.0526149
1.6255026,0.05166708,-1.0523434
1.6241124,0.052030854,-1.0521884
1.6225984,0.052494153,-1.052014
1.6209388,0.054444544,-1.0517027
1.6186006,0.052600212,-1.0516465
1.6170709,0.054539323,-1.0513477
1.6159143,0.0547803,-1.0512239
1.6146809,0.054956753,-1.0510986
1.6118729,0.054707263,-1.0508673
1.6111381,0.05326198,-1.0509217
1.6100922,0.05348987,-1.0508089
1.6085238,0.055336587,-1.0505145
1.6077328,0.053873837,-1.0505652
1.6059625,0.0529793,-1.0504808
1.6045752,0.054028146,-1.050269
1.6025944,0.05411869,-1.0500836
1.6011864,0.055163305,-1.0498705
1.5983012,0.05508889,-1.0496178
1.5979395,0.055515006,-1.0495498
1.5958824,0.055565502,-1.049361
1.5931263,0.055404685,-1.0491271
1.5927322,0.055779666,-1.0490606
1.5915725,0.056012414,-1.0489371
1.5903735,0.05595252,-1.0488344
1.5892565,0.05593746,-1.0487355
1.586412,0.055576324,-1.0485103
1.5852413,0.05557576,-1.0484053
1.5839779,0.055562258,-1.0482931
1.582636,0.05635391,-1.0481067
1.5797298,0.05594325,-1.0478802
1.5777872,0.05572123,-1.0477242
1.5774298,0.055893153,-1.0476779
1.576245,0.05587841,-1.0475729
1.5750785,0.05592841,-1.0474639
1.5738821,0.05587676,-1.0473609
1.5701964,0.055314265,-1.047077
1.5691504,0.055303868,-1.046984
1.5688612,0.05550185,-1.0469415
1.5677234,0.05546403,-1.0468426
1.5666776,0.055462733,-1.0467489
1.5655622,0.05538421,-1.0466554
1.5643238,0.05526571,-1.0465541
1.5631607,0.055171408,-1.0464575
1.5602787,0.05455431,-1.0462503
1.5590457,0.054379098,-1.0461543
1.5570221,0.05402261,-1.0460024
1.5557516,0.05375375,-1.0459106
1.5543551,0.053424116,-1.0458128
1.5539014,0.053387813,-1.0457752
1.5526152,0.05315677,-1.0456789
1.548873,0.052409835,-1.0454053
1.5503273,0.051860575,-1.0455815
1.5491658,0.05163092,-1.0454965
1.548018,0.051408887,-1.0454118
1.544285,0.050656177,-1.0451396
1.543083,0.050425865,-1.0450509
1.5418572,0.050187908,-1.0449607
1.5406318,0.04999631,-1.0448667
1.5400857,0.050824106,-1.0447488
1.5388594,0.050630096,-1.0446548
1.5376744,0.050451856,-1.0445633
1.5365223,0.050257083,-1.0444763
1.5352914,0.050048318,-1.044383
1.5339475,0.049669303,-1.0442941
1.5326912,0.049316518,-1.0442107
1.5306783,0.048758022,-1.0440766
1.5294468,0.04839099,-1.0439966
1.5281484,0.047994606,-1.0439131
1.5268784,0.047587708,-1.043833
1.5255191,0.047140483,-1.0437481
1.5240836,0.046683412,-1.0436574
1.5230389,0.045414254,-1.0436692
1.521874,0.0449981,-1.0435994
1.5206568,0.04462044,-1.0435216
1.5194064,0.044169307,-1.043447
1.5181379,0.04375455,-1.0433676
1.5171208,0.04243549,-1.0433862
1.5158218,0.041975338,-1.043308
1.5163532,0.0419922,-1.0433543
1.5133814,0.04110586,-1.0431614
1.5138898,0.041059345,-1.0432107
1.5127592,0.040700536,-1.0431392
1.511705,0.040299363,-1.043078
1.5120277,0.04008454,-1.0431249
1.5107074,0.03945052,-1.0430591
1.509409,0.038921848,-1.0429866
1.5083616,0.036661193,-1.0430808
1.506958,0.036053874,-1.0430055
1.5074143,0.035950616,-1.0430549
1.5060784,0.035383567,-1.0429822
1.504713,0.034734055,-1.0429138
1.5033002,0.034133993,-1.0428369
1.5019802,0.033554435,-1.0427668
1.5022962,0.033434365,-1.0428051
1.5009967,0.032824352,-1.0427392
1.4997523,0.03230581,-1.0426707
1.500498,0.03043067,-1.0428938
1.4990305,0.031690717,-1.0426571
1.4996231,0.03162485,-1.0427158
1.4987457,0.029337293,-1.0428275
1.4991857,0.029229477,-1.042876
1.4979734,0.028611992,-1.0428185
1.4985044,0.028422318,-1.042882
1.4974686,0.028072152,-1.0428182
1.4980859,0.028188951,-1.0428638
1.4971473,0.027873129,-1.0428059
1.4977137,0.027935863,-1.0428516
1.4969385,0.025856804,-1.0429549
1.4958614,0.025437422,-1.0428933
1.4964321,0.025505466,-1.0429388
1.4956062,0.02442506,-1.0429547
1.4945003,0.024108425,-1.0428817
1.4950602,0.02415802,-1.0429279
1.4941443,0.022935003,-1.0429475
1.4930321,0.022562742,-1.0428786
1.4934921,0.022620946,-1.0429151
1.4923606,0.022294706,-1.0428407
1.4911778,0.02193297,-1.0427647
1.4900901,0.020646881,-1.0427741
1.488945,0.020309329,-1.0426995
1.48793,0.0190523,-1.0427129
1.4886329,0.018290648,-1.0428395
1.4874344,0.018815275,-1.0426881
1.4868956,0.018720673,-1.0426477
1.4880626,0.01810702,-1.0428035
1.4856253,0.018422225,-1.0425587
1.4868159,0.017844753,-1.0427135
1.4861543,0.017685896,-1.0426674
1.4856446,0.01661872,-1.0427104
1.4849627,0.016471682,-1.0426615
1.4827304,0.015940066,-1.0425054
1.4837093,0.016185904,-1.0425727
1.4830486,0.016062696,-1.0425239
1.4824641,0.015923027,-1.042483
1.4818981,0.015773706,-1.0424446
1.4812706,0.01567119,-1.0423968
1.4806786,0.015597332,-1.0423498
1.4803089,0.013729568,-1.0424721
1.479672,0.013596943,-1.042426
