theta,tx,ty
-5.88902e-06,2.26062,-1.26868
-5.1674e-05,2.27447,-1.29435
-3.05794e-05,2.23938,-1.2592
-5.31446e-05,2.22516,-1.28715
-4.08441e-05,2.26651,-1.36951
-6.9138e-05,2.31071,-1.31992
-4.77031e-05,2.25472,-1.37644
-4.38599e-05,2.24764,-1.38494
-4.75106e-05,2.21135,-1.40655
2.22953e-05,2.23328,-1.4336
-3.2615e-05,2.19373,-1.38188
-6.17279e-05,2.23948,-1.46547
-2.04413e-05,2.2466,-1.48287
-8.27701e-05,2.25278,-1.46392
-0.00010973,2.22245,-1.50714
2.92439e-05,2.28517,-1.46262
-6.15736e-06,2.21234,-1.4512
-6.20692e-05,2.15355,-1.46162
-6.08264e-05,2.25538,-1.45633
-2.04412e-05,2.25498,-1.48769
-9.46568e-05,2.16218,-1.42326
-4.06389e-05,2.28248,-1.49774
-1.80723e-05,2.31358,-1.46742
-5.09361e-05,2.22994,-1.4986
-1.97849e-05,2.22689,-1.52878
-8.90532e-05,2.30527,-1.56576
-1.59457e-05,2.29389,-1.57637
-4.55938e-05,2.21416,-1.5681
-3.15431e-05,2.12947,-1.57543
-3.33829e-05,2.26612,-1.55245
-7.48845e-05,2.18932,-1.61077
-1.49996e-05,2.19245,-1.63753
-8.70264e-06,2.19491,-1.56045
-1.16047e-05,2.19085,-1.69969
-6.74999e-05,2.16335,-1.65107
-9.40406e-06,2.2176,-1.68286
-6.18141e-05,2.1756,-1.58714
-3.97777e-05,2.25404,-1.66264
-3.01533e-05,2.204,-1.63036
-1.25565e-05,2.33166,-1.54633
-6.37275e-05,2.35686,-1.58075
1.18936e-05,2.24461,-1.52262
-0.000106204,2.32797,-1.63754
-4.78422e-05,2.33966,-1.50763
9.71457e-06,2.2865,-1.52753
1.12657e-05,2.33928,-1.6182
-7.4869e-05,2.27196,-1.55773
-7.22615e-05,2.27779,-1.56609
-0.000104054,2.3183,-1.58072
-3.98489e-05,2.45146,-1.50765
-6.4854e-05,2.4238,-1.48212
-0.00012883,2.39669,-1.49838
-0.000105801,2.4736,-1.41218
-7.45784e-05,2.42035,-1.45194
-0.000126361,2.40342,-1.39493
-0.000127916,2.45478,-1.34927
-8.13544e-05,2.45418,-1.38927
-0.000117525,2.46542,-1.3103
-6.93087e-05,2.47778,-1.327
-0.000110585,2.53871,-1.32552
-7.77374e-05,2.52982,-1.29141
-6.05111e-05,2.49341,-1.28418
-7.20087e-05,2.54908,-1.27773
-0.000129607,2.54427,-1.29355
-7.26006e-05,2.61207,-1.25645
-0.000176188,2.4958,-1.19852
-0.000185759,2.62051,-1.13633
-0.000105824,2.53042,-1.05576
-0.000148537,2.58615,-1.09146
